,question,snippet,title,link,displayed_link,list,query,lang,country,termid
0,¿Qué son las inundaciones y cómo se originan?,"¿Qué es una inundación? Fenómeno natural que se presenta cuando el agua sube mucho su nivel en los ríos, lagunas, lagos y mar; entonces, cubre o llena zonas de tierra que normalmente son secas. No tomar agua que no sea potable, y antes de beberla se la debe hervir o filtrar.",Preguntas y algo mas sobre: Inundaciones - Eird,https://www.eird.org/fulltext/ABCDesastres/teoria/preguntas/inundaciones.htm,https://www.eird.org › fulltext › ABCDesastres › teoria › i...,,Inundación,es,ES,70
1,¿Qué son las inundaciones causas y consecuencias?,"Una inundación es la ocupación por parte del agua de zonas o regiones que habitualmente se encuentran secas. Normalmente es consecuencia de la aportación inusual y más o menos repentina de una cantidad de agua superior a la que puede drenar el propio cauce del río, aunque no siempre es este el motivo.",¿QUÉ SON LAS INUNDACIONES? | - Floodup,http://www.floodup.ub.edu/inundaciones/,http://www.floodup.ub.edu › inundaciones,,Inundación,es,ES,70
2,¿Que hacer una inundación?,"Lleve adentro las cosas que tenga afuera (muebles de jardín, parrillas, botes de basura) o amárrelas bien a un lugar fijo. Si parece necesario evacuar el lugar, corte el suministro de todos los servicios públicos desde el interruptor principal y cierre la válvula principal del gas.",Consejos de seguridad en caso de inundación - Especiales CDC,https://www.cdc.gov/spanish/nceh/especiales/inundaciones/index.html,https://www.cdc.gov › nceh › especiales › inundaciones,,Inundación,es,ES,70
3,¿Cuáles son las consecuencias de las inundaciones?,"1- Destrucción poco severa y paulatina de viviendas e infraestructuras. 2- Afectaciones de difícil cuantificación. 3- Presencia de daños acumulativos no evidentes en el corto plazo, ni a simple vista. 4- Incremento de vulnerabilidades en viviendas afectadas según tipo de material.",Efectos de las inundaciones en la ESTRUCTURA de las viviendas,https://www.sheltercluster.org/sites/default/files/docs/Efectos%20de%20las%20inundaciones%20en%20el%20estado%20de%20las%20viviendas-%20final.pdf,https://www.sheltercluster.org › sites › default › files › docs,,Inundación,es,ES,70
0,¿Qué una sequía?,"Las sequías son periodos prolongados de tiempo seco causado por la falta de lluvia, lo que produce escasez de agua. Los periodos de sequía pueden causar desabastecimiento de agua y problemas de salud pública.",Las sequías y su salud | Especiales CDC,https://www.cdc.gov/spanish/nceh/especiales/sequias/index.html,https://www.cdc.gov › spanish › nceh › especiales › sequias,,Sequía,es,ES,71
1,¿Qué efectos causa la sequía en un ecosistema?,Daño a los ecosistemas. Erosión y pérdida de suelos. Degradación de la calidad del agua y del aire. Degradación del paisaje.,"Sequía, un problema de perspectiva y gestión - SciELO México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252005000300002,http://www.scielo.org.mx › scielo,,Sequía,es,ES,71
2,¿Por qué hay sequía?,"La causa principal de la sequía es la falta de lluvias, sin embargo existen factores que contribuyen a ello como alteraciones en la circulación general del sistema océano - atmósfera vinculadas a cambios en la temperatura de la superficie de los océanos, cambios de la presión atmosférica, incrementos en las ...","La causa principal de la sequía es la falta de lluvias, sin embargo",http://atlasclimatico.unam.mx/ACM/files/assets/common/downloads/page0133.pdf,http://atlasclimatico.unam.mx › downloads › page0133,,Sequía,es,ES,71
3,¿Qué podemos hacer para evitar la sequía?,"Especialmente en época de sequía, ahorrá agua en el consumo diario. Utilizá sistemas de riego que permitan una mejor utilización del agua. Mantené constantes medidas de higiene: no acumules basura y controlá los insectos y cualquier tipo de plagas. Todo esto puede evitar enfermedades.",¿Qué hacer en caso de sequías? | Argentina.gob.ar,https://www.argentina.gob.ar/sinagir/riesgos-frecuentes/sequia/que-hacer,https://www.argentina.gob.ar › sinagir › sequia › que-hacer,,Sequía,es,ES,71
0,Quels sont les symptômes de la malnutrition ?,"Quels sont les symptômes d'une malnutrition ? Chez l'enfant, la malnutrition entraîne un retard de croissance, des difficultés de concentration, une prise de poids importante ou au contraire un amaigrissement, une fatigue chronique, des troubles du sommeil, des faiblesses, des douleurs articulaires et/ou musculaires.12 avr. 2022","Malnutrition : symptômes, conséquences, cause - Journal des ...",https://sante.journaldesfemmes.fr/fiches-nutrition/2804697-malnutrition-symptomes-consequence-cause/,https://sante.journaldesfemmes.fr › fiches-nutrition › 28...,,Malnutrition,fr,FR,53
1,Quels sont les deux formes de la malnutrition ?,Il existe deux formes de malnutrition : la malnutrition aiguë et la malnutrition chronique.3 avr. 2019,Quatre questions sur la malnutrition | Terre des hommes,https://www.tdh.ch/fr/actualite/question-malnutrition,https://www.tdh.ch › actualite › question-malnutrition,,Malnutrition,fr,FR,53
2,Quand Parle-t-on de malnutrition ?,"Selon l'OMS, la malnutrition se définit par les carences, les excès ou les déséquilibres dans l'apport énergétique et/ou nutritionnel d'une personne. ² C'est un état nutritionnel qui est la conséquence d'une alimentation mal équilibrée en quantité et/ou en qualité.19 juin 2020",Qu'est-ce que la malnutrition ? - Action contre la Faim,https://www.actioncontrelafaim.org/a-la-une/quest-ce-que-la-malnutrition/,https://www.actioncontrelafaim.org › Accueil › À la Une,,Malnutrition,fr,FR,53
3,Quels sont les maladies causées par la malnutrition ?,"Les carences en fer peuvent engendrer des problèmes de croissance et de développement intellectuel, ainsi qu'un affaiblissement du système immunitaire et une plus grande exposition aux maladies présentes dans les régions défavorisées : pneumonie, diarrhée, paludisme, rougeole et sida.",Les problèmes liés à la malnutrition - Humanium,https://www.humanium.org/fr/comprendre-droits-enfant/droit-a-l-alimentation/malnutrition/,https://www.humanium.org › droit-a-l-alimentation › m...,,Malnutrition,fr,FR,53
0,Comment définir la sécurité alimentaire ?,"Définition de Sécurité alimentaire : situation d'une personne ayant un accès physique et financier à une nourriture en qualité et quantité suffisante, respectant ses préférences culturelles, et ce tout au long de l'année, afin de garantir une vie saine et active.",Sécurité alimentaire et moyens d'existence - Action contre la ...,https://www.actioncontrelafaim.org/notre-expertise/securite-alimentaire-et-moyens-dexistence/,https://www.actioncontrelafaim.org › ... › Notre expertise,,Sécurité alimentaire,fr,FR,54
1,Quels sont les trois piliers de la sécurité alimentaire ?,"Les quatre piliers de la sécurité alimentaire sont la disponibilité, l'accès, l'utilisation et la stabilité.",Cadre stratégique mondial pour la sécurité alimentaire et la nutrition,https://www.fao.org/cfs/policy-products/gsfonline/fr/,https://www.fao.org › cfs › policy-products › gsfonline,,Sécurité alimentaire,fr,FR,54
2,Quelles sont les différentes phases de la sécurité alimentaire ?,L'IPC est une échelle standardisée qui permet de classifier la sévérité de l'insécurité alimentaire aigüe en cinq phases : 1. Minimale ; 2. Sous pression ; 3. Crise ; 4.20 févr. 2015,IPCCadre Intégré de classification de la sécurité alimentaire,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/IPC%20_RDC%20Communication20022015.pdf,https://www.humanitarianresponse.info › documents › files,,Sécurité alimentaire,fr,FR,54
3,Qu'est-ce que la sécurité alimentaire PDF ?,"La sécurité alimentaire désigne une situation dans laquelle tous les individus ont, en tout temps, un accès physique, social et économique à une nourriture suffisante, saine et nutritive qui satisfait à leurs besoins et préférences alimentaires et leur permet de mener une vie saine et active.16 févr. 2017",LA SECURITE ALIMENTAIRE ET NUTRITIONNELLE,https://fscluster.org/sites/default/files/documents/presentation_ensan_fevrier_2017_version_definitive_08032017.pdf,https://fscluster.org › sites › default › files › documents,,Sécurité alimentaire,fr,FR,54
0,Quelle quantité de kcal par jour ?,"Pour les hommes, le besoin énergétique moyen se situe entre 2400 et 2700 kcal. Pour les femmes, la recommandation est de 2000 à 2200 kcal.5 mai 2021",Combien de calories par jour doit-on consommer - La Vie ...,https://www.la-vie-naturelle.com/blog/post/combien-de-calories-par-jour,https://www.la-vie-naturelle.com › blog › post › combi...,,Calorie,fr,FR,56
1,Quel est l'aliment le plus riche en calories ?,"1- Les graines et les oléagineux, aliments les plus caloriques. Dans la liste des aliments les plus caloriques, nous retrouvons les oléagineux. Ce sont des végétaux dont nous pouvons extraire l'huile comme les amandes, les noix, les olives, l'avocat, la noix de coco… Ce qui explique leur teneur en calories.12 juil. 2021",Aliments les plus caloriques : notre top 10 - Greenweez magazine,https://www.greenweez.com/magazine/le-top-10-des-aliments-les-plus-caloriques-par-quoi-puis-je-les-remplacer-31012/,https://www.greenweez.com › magazine › le-top-10-des-a...,,Calorie,fr,FR,56
2,Quels sont les aliments hypercaloriques ?,,Aliments à densité énergétique élevée,https://www.passeportsante.net/fr/Nutrition/Dietes/Fiche.aspx?doc=maigreur_diete,https://www.passeportsante.net › Nutrition › Dietes › Fiche,"['Fruits secs.', 'Banane.', 'Mangue.', 'Raisin.', 'Cerises.', 'Nectar de fruits.', 'Avocat.', 'Olives.']",Calorie,fr,FR,56
3,Qu'est-ce que veut dire kcal ?,"Scientifiquement parlant, 1 kilocalorie (1 000 calories ou 1 kcal) est la quantité de chaleur nécessaire pour élever de 1 °C la température de 1 kilogramme d'eau.",Quelle est la différence entre Kcal et Calories ? | Philips,https://www.philips.fr/c-f/XC000010892/quelle-est-la-diff%C3%A9rence-entre-kcal-et-calories-,https://www.philips.fr › quelle-est-la-différence-entre-kcal...,,Calorie,fr,FR,56
0,Quels sont les 5 types d'énergies renouvelables ?,"Le solaire (solaire photovoltaïque, solaire thermique), l'hydroélectricité, l'éolien, la biomasse, la géothermie sont des énergies flux inépuisables par rapport aux « énergies stock » tirées des gisements de combustibles fossiles en voie de raréfaction : pétrole, charbon, lignite, gaz naturel.",5 familles énergies renouvelables,http://www.energies-renouvelables.org/energies_renouvelables.asp,http://www.energies-renouvelables.org › energies_reno...,,Énergie renouvelable,fr,FR,58
1,Quelles sont les 6 énergies renouvelables ?,,Les énergies renouvelables en 6 catégories,https://www.lenergietoutcompris.fr/actualites-conseils/quelles-sont-les-six-categories-d-energies-renouvelables-48115,https://www.lenergietoutcompris.fr › actualites-conseils,"[""Énergie solaire. Parmi les différentes énergies renouvelables, on retrouve en tête, l'énergie solaire. ... "", ""Énergie éolienne. L'énergie éolienne prend sa force du vent. ... "", 'Énergie hydraulique. ... ', 'La biomasse. ... ', ""L'énergie géothermique. ... "", 'Les énergies marines.']",Énergie renouvelable,fr,FR,58
2,Quel sont les 7 sources d'énergie renouvelable ?,,"Contrairement aux énergies fossiles (charbon, gaz et pétrole) qui ne se régénèrent pas, les énergies renouvelables se recréent en permanence....Quelles sont les sources d'énergies renouvelables ?",https://www.vattenfall.fr/le-mag-energie/quelles-sont-les-sources-d-energies-renouvelables,https://www.vattenfall.fr › le-mag-energie › quelles-sont-l...,"[""L'énergie solaire."", ""L'énergie éolienne."", ""L'énergie hydraulique."", 'La biomasse.', 'La géothermie.']",Énergie renouvelable,fr,FR,58
3,Quels sont les 5 types d'énergie ?,,Les différentes formes d'énergie sur Terre,https://www.choisir.com/energie/articles/158904/quelles-sont-les-differentes-formes-denergie,https://www.choisir.com › energie › articles › quelles-sont...,"[""L'énergie mécanique. ... "", ""L'énergie thermique. ... "", ""L'énergie radiative ou rayonnante. ... "", ""L'énergie chimique. ... "", ""L'énergie électrique. ... "", ""L'énergie nucléaire. ... "", 'Les énergies primaires. ... ', 'Les énergies secondaires.']",Énergie renouvelable,fr,FR,58
0,Qu'est-ce qui explique le changement climatique ?,"Ce phénomène est dû aux gaz à effet de serre, tels que le dioxyde de carbone (CO2), qui sont rejetés dans l'atmosphère lors de la combustion des énergies fossiles comme le charbon, le pétrole et le gaz, ainsi que lors de l'utilisation des sols, par exemple avec le déboisement des forêts tropicales.",Qu'est-ce que le changement climatique? | myclimate,https://www.myclimate.org/fr/sinformer/faq/faq-detail/quest-ce-que-le-changement-climatique/,https://www.myclimate.org › sinformer › faq › faq-detail,,Changement climatique,fr,FR,59
1,Quelle sont les conséquence changement climatique ?,hausse du niveau de la mer. hausse de la température des océans. intensification des précipitations (fortes pluies et grêle) augmentation des cyclones tropicaux violents.,Quelles sont les conséquences du changement climatique et du ...,https://www.myclimate.org/fr/sinformer/faq/faq-detail/quelles-sont-les-consequences-du-changement-climatique/,https://www.myclimate.org › sinformer › faq › faq-detail,,Changement climatique,fr,FR,59
2,Quels sont les types de changement climatique ?,"De manière générale, les changements climatiques peuvent être divisés en deux groupes : Changement climatique passé : une série d'altérations du climat marquées par des périodes froides et des périodes chaudes. Changement climatique actuel : caractérisé par une augmentation de la température moyenne mondiale.31 déc. 2021","Changement climatique : Définition, types, nature, causes et ...",https://www.projetecolo.com/changement-climatique-definition-types-nature-causes-et-consequences-442.html,https://www.projetecolo.com › changement-climatique-de...,,Changement climatique,fr,FR,59
3,Quels sont les avantages du changement climatique ?,"L'élévation de la température et de la concentration atmosphérique en CO2 favorise le métabolisme des végétaux et leur photosynthèse. Si les autres ressources nécessaires à la croissance végétale sont présentes, la productivité végétale devrait augmenter.",Le réchauffement climatique a-t-il des avantages ? - Futura-Sciences,https://www.futura-sciences.com/planete/questions-reponses/rechauffement-climatique-rechauffement-climatique-t-il-avantages-1126/,https://www.futura-sciences.com › questions-reponses › re...,,Changement climatique,fr,FR,59
0,Qu'est-ce que la pollution des sols ?,"Les activités industrielles telles que les activités minières, la fonte, la fabrication, les ordures ménagères, les déchets communaux, le bétail, les pesticides, les herbicides, les engrais utilisés dans l'agriculture, les émanations des moyens de transport, les produits dérivés du pétrole qui sont relâchés dans l' ...3 mai 2018",La pollution des sols est une menace importante pour l ...,https://news.un.org/fr/story/2018/05/1012902,https://news.un.org › story › 2018/05,,Pollution du sol,fr,FR,65
1,Quelles sont les causes et les conséquences de la pollution des sols ?,"Le sol peut être pollué de façons différentes. Les principales causes de la pollution des sols sont dues à une mauvaise gestion des terres souvent dans l'agriculture, les industries extractives, lors de l'élimination des déchets ménagers ou industriels, mais aussi le trafic routier.3 mai 2019",Cause de la pollution des sols - Alcor Controles,https://www.alcor-controles.fr/cause-de-la-pollution-des-sols/,https://www.alcor-controles.fr › cause-de-la-pollution-des-...,,Pollution du sol,fr,FR,65
2,Quels sont les polluants du sol ?,"Les principaux polluants dans les sols sont les métaux lourds (cadmium, cuivre, mercure, plomb, zinc) et les polluants organiques (dioxines et furanes, HAP, PCB). Des teneurs élevées en polluants peuvent avoir des effets sur l'homme, les animaux et les plantes.9 févr. 2022",Les principaux polluants dans les sols | État de Fribourg,https://www.fr.ch/energie-agriculture-et-environnement/sol/sols-urbains/les-principaux-polluants-dans-les-sols,https://www.fr.ch › sol › sols-urbains › les-principaux-pol...,,Pollution du sol,fr,FR,65
3,Comment se fait la pollution des sols ?,"Généralement imputée aux activités humaines, cette concentration anormale peut être liée à l'utilisation d'engrais et de pesticides par l'agriculture, au passage d'engins lourds, aux rejets accidentels des industries ou à la multiplication des surfaces bétonnées. Parmi bien d'autres causes.","Pollution des sols : définition, causes et conséquences",https://www.conservation-nature.fr/ecologie/la-pollution-des-sols/,https://www.conservation-nature.fr › Écologie,,Pollution du sol,fr,FR,65
0,Quel sont les principaux gaz à effet de serre ?,"Origine des gaz à effet de serre (GES) Le dioxyde de carbone (CO2) : bien moins présent dans l'atmosphère que la vapeur d'eau, le CO2 participe à 25% de l'effet de serre car sa capacité à retenir la chaleur est très élevée. Le méthane (CH4) Le protoxyde d'azote ou oxyde nitreux (N2O) L'ozone (O3)8 oct. 2019",Les GES (gaz à effet de serre) - Agence Parisienne du Climat,https://www.apc-paris.com/gaz-serre,https://www.apc-paris.com › gaz-serre,,Gaz à effet de serre,fr,FR,66
1,Qu'est-ce qu'un gaz à effet de serre définition simple ?,"Gaz d'origine naturelle (vapeur d'eau) ou anthropique (liée aux activités humaines) absorbant et réémettant une partie des rayons solaires (rayonnement infrarouge), phénomènes à l'origine de l'effet de serre.15 janv. 2021",Gaz à effet de serre (émissions) - Définitions - Insee,https://www.insee.fr/fr/metadonnees/definition/c1855,https://www.insee.fr › metadonnees › definition,,Gaz à effet de serre,fr,FR,66
2,Quel est le pire gaz à effet de serre ?,méthane,méthane,https://www.futura-sciences.com/planete/questions-reponses/rechauffement-climatique-gaz-effet-serre-co2-methane-pire-565/,https://www.futura-sciences.com › questions-reponses › re...,,Gaz à effet de serre,fr,FR,66
3,Est-ce que le gaz à effet de serre ?,"Gaz à effet de serre définition Les gaz à effet de serre, ou GES, sont des gaz qui absorbent une partie des rayons solaires en les redistribuant sous la forme de radiations au sein de l'atmosphère terrestre, phénomène appelé effet de serre.5 juin 2019",Gaz à Effet de Serre (GES) - Définition - Actu Environnement,https://www.actu-environnement.com/ae/dictionnaire_environnement/definition/gaz_a_effet_de_serre_ges.php4,https://www.actu-environnement.com › definition › gaz...,,Gaz à effet de serre,fr,FR,66
0,Quels sont les symptômes d'une infection ?,"""Lorsqu'une infection bactérienne est suffisamment importante elle se signale toujours par de la fièvre plus ou moins élevée et entraîne des douleurs et autres symptômes qui dépendent de l'organe en cause : il peut s'agir de douleur pharyngée, de toux, de gêne respiratoire, de douleurs abdominales, diarrhée ou ...15 juin 2020","Infection bactérienne : symptômes, exemples, comment lutter contre ?",https://sante.journaldesfemmes.fr/fiches-maladies/2640597-infection-bacterienne-symptomes-exemples-liste-diagnostic-traitement/,https://sante.journaldesfemmes.fr › fiches-maladies › 2640...,,Infection,fr,FR,68
1,Qu'est-ce q une infection ?,"1. Pénétration et développement dans un être vivant de micro-organismes qui peuvent provoquer des lésions en se multipliant, et éventuellement en sécrétant des toxines ou en se propageant par voie sanguine.",Définitions : infection - Dictionnaire de français Larousse,https://www.larousse.fr/dictionnaires/francais/infection/42901,https://www.larousse.fr › dictionnaires › francais › infec...,,Infection,fr,FR,68
2,Quels sont les différents types d'infection ?,"Les infections bactériennes peuvent être des otites, angines, infections de la peau (panaris, abcès…), diarrhées, infections urinaires et génitales. La prescription d'antibiotiques peut être nécessaire pour lutter efficacement contre la bactérie impliquée.",Les maladies d'origine bactériennes - Antibio-responsable.fr,https://www.antibio-responsable.fr/maladies/maladies,https://www.antibio-responsable.fr › maladies › maladies,,Infection,fr,FR,68
3,Comment savoir si l'on a un staphylocoque ?,"Les symptômes d'une infection à staphylocoques Infection cutanée : furoncles, folliculites, impétigo, peu rouge, gonflée, douloureuse, boutons. Infection alimentaire : douleurs abdominales, crampes d'estomac, nausées, vomissements, diarrhée. En cas de septicémie : forte fièvre, maux de tête, douleurs musculaires.18 août 2014","Le staphylocoque, une bactérie potentiellement mortelle - Doctissimo",https://www.doctissimo.fr/sante/maladie-infectieuse/staphylocoque,https://www.doctissimo.fr › sante › maladie-infectieuse › s...,,Infection,fr,FR,68
0,Où sont les inondations ?,"Météo-France a placé la Savoie, la Haute-Savoie, l'Ain et l'Isère en alerte orange pluie-inondation. La Savoie, la Haute-Savoie et l'Isère sont aussi placées en vigilance orange pour des risques d'avalanches. Le Puy-de-Dôme et l'Ain sont...",Toute l'actualité inondations,https://www.rtl.fr/sujet/inondations,https://www.rtl.fr › sujet › inondations,,Inondation,fr,FR,70
1,Quelles sont les causes de l'inondation ?,Causes des inondations terrestres Le débordement indirect d'une réserve d'eau (de surface ou souterraine) suite à la remontée des nappes phréatiques ou bien d'eaux à travers les canalisations. L'accumulation des eaux de ruissellement suite à des précipitations abondantes.19 déc. 2021,Quelles sont les causes des inondations ? - Futura-Sciences,https://www.futura-sciences.com/planete/questions-reponses/eau-sont-causes-inondations-1314/,https://www.futura-sciences.com › questions-reponses › ea...,,Inondation,fr,FR,70
2,Quelles sont les causes et les conséquences de l'inondation ?,La plupart des inondations se produisent lorsque le volume d'eau d'une rivière ou d'un cours d'eau dépasse la capacité du lit. Il y a également des inondations le long des lacs et des littoraux maritimes lorsque le niveau normal de l'eau augmente au-delà du niveau des terres riveraines.22 juil. 2013,Les causes des inondations - Canada.ca,https://www.canada.ca/fr/environnement-changement-climatique/services/eau-apercu/volume/causes-inondation.html,https://www.canada.ca › volume › causes-inondation,,Inondation,fr,FR,70
3,Comment agir face aux inondations ?,"Fermez les portes, les fenêtres, les soupiraux et les aérations. Installez les sacs de sable ou les batardeaux prévus pour empêcher l'eau d'entrer. Si vous n'avez pas d'endroit où vous mettre à l'abri, évacuez les lieux avant qu'il ne soit trop tard. N'attendez pas que les accès soient coupés.",Comment réagir face à une inondation ? | Assurance Prévention,https://www.assurance-prevention.fr/reagir-inondation,https://www.assurance-prevention.fr › reagir-inondation,,Inondation,fr,FR,70
0,Qu'est-ce que ça veut dire la sécheresse ?,Une sécheresse est une longue période de temps pendant laquelle les quantités de précipitations sont en dessous des statistiques dans une région.,Sécheresse - Définition - Actu Environnement,https://www.actu-environnement.com/ae/dictionnaire_environnement/definition/secheresse.php4,https://www.actu-environnement.com › secheresse,,Sécheresse,fr,FR,71
1,Pourquoi il y a des Secheresses ?,"Le déficit d'eau et des températures élevées sont les principales causes de sécheresse. En cas de précipitations insuffisantes durant l'hiver et le printemps (entre septembre et mars), les réserves d'eau ne peuvent pas se recharger comme elles devraient pour maintenir un équilibre hydrologique.",La sécheresse : mieux la comprendre pour mieux la prévenir,https://www.cieau.com/connaitre-leau/secheresse-comment-agir/,https://www.cieau.com › secheresse-comment-agir,,Sécheresse,fr,FR,71
2,Quelles sont les solutions de la sécheresse ?,,10 conseils pour lutter contre la sécheresse,https://www.aujardin.info/fiches/10-conseils-pour-lutter-contre-secheresse.php,https://www.aujardin.info › fiches › 10-conseils-pour-lutte...,"[' Stocker. ... ', ' Arroser à bon escient. ... ', ' Arroser souvent. ... ', ' Biner régulièrement. ... ', ' Pailler le sol. ... ', ' Laisser la pelouse jaunir sans inquiétude. ... ', ' Utiliser une tondeuse à mulching. ... ', ' Tailler long.']",Sécheresse,fr,FR,71
3,Quel sont les conséquence de la sécheresse ?,"Les épisodes de sécheresse ont de multiples impacts sur les milieux aquatiques, consécutifs à la baisse des niveaux d'eau. La biodiversité est directement touchée, et souffre aussi de la détérioration de la qualité de l'eau suite à l'échauffement et à la moindre dilution des pollutions.",Les impacts de la sécheresse | Eaufrance,https://www.eaufrance.fr/les-impacts-de-la-secheresse,https://www.eaufrance.fr › les-impacts-de-la-secheresse,,Sécheresse,fr,FR,71
0,¿Qué es la malnutrición causas y consecuencias?,La malnutrición es el resultado de llevar una dieta desequilibrada en la cual hay una falta de nutrientes o bien cuya ingesta se da en la proporción errónea. La malnutrición aumenta el riesgo de padecer una infección o enfermedades infecciosas.,"Malnutrición: qué es, síntomas y tratamiento | Top Doctors",https://www.topdoctors.es/diccionario-medico/malnutricion,https://www.topdoctors.es › Diccionario médico › M,,Malnutrición,es,AR,53
1,¿Cuál es la diferencia entre desnutrición y malnutrición?,"Una persona sufre de desnutrición cuando tiene un déficit alimentario. Es decir, no come todo lo que debería. En cambio, un individuo malnutrido puede ingerir alimentos incluso en exceso, pero no son sanos.",¿Cuál es la diferencia entre malnutrición y desnutrición?,https://www.accioncontraelhambre.org/es/diferencia-malnutricion-desnutricion,https://www.accioncontraelhambre.org › diferencia-mal...,,Malnutrición,es,AR,53
2,¿Qué consecuencias tiene la malnutrición?,"La desnutrición crónica puede causar retraso en el crecimiento (altura baja para la edad) y emaciación (peso bajo para la altura). Las dietas que no aportan suficientes micronutrientes pueden conducir a enfermedades graves, incluyendo anemia, retraso mental y ceguera permanente.",¿QUÉ ES MALNUTRICIÓN? EFECTOS EN LA SALUD ...,http://www.fao.org/3/as603s/as603s.pdf,http://www.fao.org › ...,,Malnutrición,es,AR,53
3,¿Cómo se da la malnutrición?,"La malnutrición, o las condiciones físicas indeseables o de enfermedad que se relacionan con la nutrición, se pueden deber a comer muy poco, demasiado, o por una dieta desequilibrada que no contiene todos los nutrientes necesarios para un buen estado nutricional.",Parte I: Causas de la malnutrición - FAO,https://www.fao.org/3/w0073s/w0073s05.htm,https://www.fao.org › ...,,Malnutrición,es,AR,53
0,¿Qué significa seguridad alimentaria?,"​​​​​​​​​​​​Según el CONPES Social 113 de 2008, la Seguridad Alimentaria Nacional se refiere a la disponibilidad suficiente y estable de alimentos, el acceso y el consumo oportuno y permanente de los mismos en cantidad, calidad e inocuidad por parte de todas las personas, bajo condiciones que permitan su adecuada ...",Seguridad Alimentaria y Nutricional - Departamento Nacional de ...,https://www.dnp.gov.co/programas/desarrollo-social/pol%C3%ADticas-sociales-transversales/Paginas/seguridad-alimentaria-y-nutricional.aspx,https://www.dnp.gov.co › desarrollo-social › Paginas › se...,,Seguridad alimentaria,es,AR,54
1,¿Qué es la seguridad alimentaria y porque es tan importante?,"La seguridad alimentaria busca evitar enfermedades adquiridas por la comida, afecciones de naturaleza infecciosa o tóxica. En su mayoría, las infecciones causadas por bacterias, virus, parásitos o sustancias químicas entran al organismo por los alimentos o agua contaminada.7 jun 2021",La importancia de la seguridad alimentaria - Mexico Social,https://www.mexicosocial.org/la-importancia-de-la-seguridad-alimentaria/,https://www.mexicosocial.org › la-importancia-de-la-segu...,,Seguridad alimentaria,es,AR,54
2,¿Qué es la seguridad alimentaria y cuáles son sus componentes?,"Cuando se habla de Seguridad Alimentaria y Nutricional, se hace referencia al derecho que tienen todas las personas y poblaciones de acceder a una alimentación nutricionalmente completa, suficiente y adecuada, compuesta por diversidad de alimentos, incluida el agua, de buena calidad, que no ocasione riesgo para la ...",Seguridad Alimentaria y Nutricional,https://inta.gob.ar/sites/default/files/script-tmp-seguridad_alimentaria_y_nutricional_de_las_personas.pdf,https://inta.gob.ar › sites › default › files › script-tmp-segu...,,Seguridad alimentaria,es,AR,54
3,¿Qué es la seguridad alimentaria según la OMS?,La inocuidad de los alimentos es la ausencia -a niveles seguros y aceptables- de peligro en los alimentos que puedan dañar la salud de las consumidoras y los consumidores. Solo los alimentos inocuos satisfacen las necesidades alimentarias y contribuyen a que todas las personas tengan una vida activa y saludable.,¿Qué es la inocuidad alimentaria? | Argentina.gob.ar,https://www.argentina.gob.ar/anmat/comunidad/que-es-la-inocuidad-alimentaria,https://www.argentina.gob.ar › anmat › comunidad › que-...,,Seguridad alimentaria,es,AR,54
0,¿Qué es una caloría en nutrición?,"Una caloría es una unidad de medida, pero esta no mide peso ni longitud. Una caloría es una unidad de energía. Cuando escuchas que algo contiene calorías, es una manera de describir la cantidad de energía que podría recibir tu cuerpo al consumir eso.",Aprendamos sobre las calorías (para Niños ) - Kids Health,https://kidshealth.org/es/kids/calorie.html,https://kidshealth.org › kids › calorie,,Caloría,es,AR,56
1,¿Cuántas calorías de debe consumir al día?,Hombres: entre 2000 kcal y 2500 kcal. Mujeres: 2000 kcal.11 jun 2021,Cuántas calorías debo consumir al día - Según SEXO y EDAD | Welthy,https://www.welthy.es/magazine/cuantas-calorias-debo-consumir-al-dia/,https://www.welthy.es › magazine › cuantas-calorias-debo...,,Caloría,es,AR,56
2,¿Qué son calorías ejemplos?,"Las calorías (cal) son la unidad más pequeña de una kilocaloría (kcal) siendo 1 kilocaloría 1000 calorías. En biología se utilizaba estos 2 términos como sinónimos provocando algunas confusiones. Ten en cuenta que muy pocos alimentos tienen más de 1000 kilocalorías, una manzana, por ejemplo, tiene 52 kilocalorías.","Significado de Calorías (Qué son, Concepto y Definición)",https://www.significados.com/calorias/,https://www.significados.com › calorias,,Caloría,es,AR,56
3,¿Qué es la caloría en física?,"La definición técnica de caloría corresponde a una unidad de energía basada en el calor específico del agua. Así, se define caloría como la cantidad de energía calorífica necesaria para elevar un grado centígrado la temperatura de un gramo de agua pura, desde 14,5 °C a 15,5 °C, a una presión normal de una atmósfera.",¿Qué son? y Tabla de Calorías - Clínica Las Condes,https://www.clinicalascondes.cl/CENTROS-Y-ESPECIALIDADES/Centros/Centro-de-Nutricion/Nutricion/Calorias,https://www.clinicalascondes.cl › Nutricion › Calorias,,Caloría,es,AR,56
0,¿Cuáles son los tipos de energías renovables?,"Entre los diferentes tipos de energías renovables encontramos los siguientes: energía hidráulica, energía eólica, energía solar, energía geotérmica, energía mareomotriz, energía de la biomasa.",Energías Renovables - Gobierno del Estado de Oaxaca,https://www.oaxaca.gob.mx/semaedeso/energias-renovables/,https://www.oaxaca.gob.mx › energias-renovables,,Energía renovable,es,AR,58
